event,site,date,round,white,black,result,white_elo,black_elo,eco,set_up,time_control,start_time,end_time,termination,link,movetext,n_moves,w1,b1,w2,b2,w3,b3,w4,b4,w5,b5,w6,b6,w7,b7,w8,b8,w9,b9,w10,b10,last_move,complete_movetext,w_b_moves,w_k_moves,w_n_moves,w_o_moves,w_q_moves,w_r_moves,b_b_moves,b_k_moves,b_n_moves,b_o_moves,b_q_moves,b_r_moves,b_moves,k_moves,n_moves_2,o_moves,q_moves,r_moves,termination_broad,me,win,draw,loss,my_result,elo_dif,my_elo
Bullet,Chess.com,2020-10-31,-,therealslim_kt,JoseMiguel645,0-1,1795,1793,A43,NA,60,16:12:10,16:14:28,JoseMiguel645 won by checkmate,https://www.chess.com/live/game/5664595695,1. c4 c5 2. d4 Nc6 3. d5 Nb8 4. e4 d6 5. Nf3 Nf6 6. Nc3 g6 7. Bd3 Bg7 8. Qc2 O-O 9. O-O Nbd7 10. Nd2 Ne5 11. f4 Nxd3 12. Qxd3 a6 13. f5 b5 14. cxb5 axb5 15. Nxb5 Ba6 16. a4 Rb8 17. Nf3 Qb6 18. fxg6 c4+ 19. Qd4 Nxe4 20. gxh7+ Kxh7 21. Qxb6 Rxb6 22. Re1 Nc5 23. Ng5+ Kg6 24. Rxe7 Bf6 25. Re3 Bxg5 26. Rg3 f6 27. Nc7 Kf7 28. Bxg5 fxg5 29. Rf1+ Ke7 30. Re1+ Kd7 31. Ne6 Nxe6 32. dxe6+ Ke7 33. Rxg5 Rxb2 34. Rg7+ Ke8 35. e7 Rh8 36. Rf1 c3 37. Rf8+ Rxf8 38. exf8=Q+ Kxf8 39. Ra7 c2 40. Kf2 c1=Q+ 41. Kg3 Qg5+ 42. Kf3 Rb3+ 43. Ke4 Qe5#,43,c4,c5,d4,Nc6,d5,Nb8,e4,d6,Nf3,Nf6,Nc3,g6,Bd3,Bg7,Qc2,O-O,O-O,Nbd7,Nd2,Ne5,Qe5#,TRUE,2,5,8,1,4,12,4,9,9,1,3,7,6,14,17,2,7,19,Normal,White,0,0,TRUE,Loss,2,1795
Bullet,Chess.com,2020-10-31,-,duysekin1987,therealslim_kt,1/2-1/2,1807,1803,E00,NA,60,16:09:35,16:11:59,Game drawn by stalemate,https://www.chess.com/live/game/5664583620,1. d4 e6 2. c4 Nf6 3. Nc3 Bb4 4. e4 Nxe4 5. Qa4 Nxc3 6. bxc3 Bxc3+ 7. Bd2 Bxa1 8. d5 O-O 9. dxe6 fxe6 10. Nf3 Nc6 11. Be2 Bf6 12. O-O b6 13. Re1 Bb7 14. Qb3 Nd4 15. Qb1 Nxe2+ 16. Rxe2 d5 17. cxd5 exd5 18. Qc2 c5 19. Bc3 d4 20. Qb3+ Bd5 21. Qc2 Bxf3 22. gxf3 Bh4 23. Be1 Rxf3 24. Qc4+ Kh8 25. Qe6 Qg5+ 26. Kh1 Rf6 27. Qe8+ Rf8 28. Qe6 h6 29. Qe4 Bxf2 30. Bxf2 Qc1+ 31. Kg2 Qg5+ 32. Bg3 Rf7 33. Qe8+ Rxe8 34. Rxe8+ Kh7 35. Re2 h5 36. h4 Qg4 37. Rf2 Rxf2+ 38. Kxf2 Qf5+ 39. Ke2 Qc2+ 40. Kf3 Qxa2 41. Kf4 Qe6 42. Kf3 Qg4+ 43. Kg2 Qxg3+ 44. Kxg3 g5 45. hxg5 Kg6 46. Kh4 d3 47. Kg3 d2 48. Kh4 d1=Q 49. Kg3 Qd4 50. Kh3 Qg4+ 51. Kh2 Kxg5 52. Kh1 Qf3+ 53. Kh2 Kg4 54. Kg1 Kg3,54,d4,e6,c4,Nf6,Nc3,Bb4,e4,Nxe4,Qa4,Nxc3,bxc3,Bxc3+,Bd2,Bxa1,d5,O-O,dxe6,fxe6,Nf3,Nc6,Kg3,TRUE,6,19,2,1,12,6,9,7,6,1,13,7,15,26,8,2,25,13,Normal,Black,0,1,FALSE,Draw,-4,1803
Bullet,Chess.com,2020-10-31,-,therealslim_kt,Alica_Necrofairy,0-1,1803,1824,A40,NA,60,16:07:00,16:09:24,Alica_Necrofairy won on time,https://www.chess.com/live/game/5664571981,1. c4 g6 2. d4 Bg7 3. e4 d6 4. Nc3 Bd7 5. f4 Qc8 6. Nf3 Bg4 7. Be2 Bxf3 8. Bxf3 Nc6 9. d5 Nd4 10. O-O Nxf3+ 11. Rxf3 c6 12. Be3 cxd5 13. cxd5 Bxc3 14. bxc3 Nf6 15. Bd4 O-O 16. e5 dxe5 17. fxe5 Ne4 18. Qd3 Ng5 19. Rg3 f6 20. e6 Qc7 21. Rf1 Rad8 22. c4 b5 23. Bxf6 exf6 24. Re1 Qe7 25. cxb5 Rd6 26. Rc1 Rfd8 27. Rc5 Rb6 28. Qc4 Rbd6 29. Rc7 Qe8 30. e7 R8d7 31. Rxd7 Qxd7 32. Re3 Qe8 33. Qc6 Rd7 34. Qe6+ Nxe6 35. dxe6 Rxe7 36. b6 Rxe6 37. Rxe6 Qxe6 38. Kf2 Qe8 39. Kf3 Qb8 40. Ke3 Qxb6+ 41. Ke4 Qa6 42. Kd5 Qa5+ 43. Kd4 Qa4+ 44. Ke3 Qxa2 45. Kf4 Qa1 46. Ke4 Qa5 47. Kd4 Qa4+ 48. Ke3 Qa3+,48,c4,g6,d4,Bg7,e4,d6,Nc3,Bd7,f4,Qc8,Nf3,Bg4,Be2,Bxf3,Bxf3,Nc6,d5,Nd4,O-O,Nxf3+,Qa3+,TRUE,5,12,2,1,4,11,5,1,7,1,18,10,10,13,9,2,22,21,Time forfeit,White,0,0,TRUE,Loss,-21,1803
Bullet,Chess.com,2020-10-31,-,therealslim_kt,Gandalfsson,1-0,1811,1766,A16,NA,60,16:04:40,16:06:52,therealslim_kt won on time,https://www.chess.com/live/game/5664561002,1. c4 d5 2. cxd5 Nf6 3. Nc3 c6 4. dxc6 Nxc6 5. g3 Bf5 6. Bg2 e5 7. d3 Bb4 8. Nf3 Bxc3+ 9. bxc3 Qa5 10. Bd2 O-O-O 11. O-O e4 12. Nd4 Nxd4 13. cxd4 Qb6 14. Rc1+ Kb8 15. Bf4+ Ka8 16. Rb1 Qxd4 17. Qb3 Rd7 18. Rfc1 Nd5 19. Rc4 Qf6 20. Ra4 Nxf4 21. gxf4 exd3 22. Qxb7+ Rxb7 23. Rxb7 Qd4 24. Rxd4 Bh3 25. Rdd7 Bxg2 26. Kxg2 dxe2 27. Rxa7+ Kb8 28. Rdb7+ Kc8 29. Rc7+ Kb8 30. Rd7 e1=Q 31. Rab7+ Kc8 32. Rdc7+ Kd8 33. Rd7+ Kc8 34. Rdc7+,34,c4,d5,cxd5,Nf6,Nc3,c6,dxc6,Nxc6,g3,Bf5,Bg2,e5,d3,Bb4,Nf3,Bxc3+,bxc3,Qa5,Bd2,O-O-O,Rdc7+,TRUE,3,2,3,1,2,17,5,9,5,1,5,3,8,11,8,2,7,20,Time forfeit,White,1,0,FALSE,Win,45,1811
Bullet,Chess.com,2020-10-31,-,willwma,therealslim_kt,0-1,1769,1804,A46,NA,60,16:02:34,16:04:30,therealslim_kt won by checkmate,https://www.chess.com/live/game/5664551457,1. d4 Nf6 2. Nf3 e6 3. e3 c5 4. Be2 cxd4 5. Nxd4 Nc6 6. c4 Nxd4 7. Qxd4 d5 8. cxd5 Nxd5 9. Nc3 Bd7 10. O-O Bc6 11. Nxd5 Bxd5 12. Bc4 Bxc4 13. Qxc4 Bd6 14. Qb5+ Ke7 15. Qxb7+ Qd7 16. Qxd7+ Kxd7 17. b3 Rhc8 18. Bb2 f6 19. h3 Ke7 20. Rfd1 Bb4 21. Bd4 Bc3 22. Rac1 Bxd4 23. exd4 Rxc1 24. Rxc1 Rd8 25. Rd1 e5 26. Rd3 Rxd4 27. Rc3 f5 28. Rc7+ Rd7 29. Rxa7 Rxa7 30. b4 Rxa2 31. Kf1 Rb2 32. f3 Rxb4 33. Kf2 g5 34. g4 fxg4 35. hxg4 h5 36. gxh5 Rh4 37. Kg3 Rxh5 38. Kg4 Rh8 39. Kxg5 Ke6 40. Kg6 Rg8+ 41. Kh7 Rg3 42. f4 exf4 43. Kh6 Kf5 44. Kh5 Rh3#,44,d4,Nf6,Nf3,e6,e3,c5,Be2,cxd4,Nxd4,Nc6,c4,Nxd4,Qxd4,d5,cxd5,Nxd5,Nc3,Bd7,O-O,Bc6,Rh3#,TRUE,4,10,4,1,5,9,8,5,4,0,1,15,12,15,8,1,6,24,Normal,Black,1,0,FALSE,Win,35,1804
Bullet,Chess.com,2020-10-31,-,therealslim_kt,Gofman_Geviksman,0-1,1796,1727,D07,NA,60,16:00:18,16:02:23,Gofman_Geviksman won on time,https://www.chess.com/live/game/5664540948,1. d4 d5 2. c4 Nc6 3. cxd5 Qxd5 4. Nc3 Qxd4 5. Qb3 Be6 6. Qxb7 Rd8 7. Qxc6+ Bd7 8. Qe4 Qxe4 9. Nxe4 Bf5 10. Nc3 e6 11. Bd2 Bb4 12. Nf3 Bxc3 13. Bxc3 Ne7 14. e3 O-O 15. Bc4 Bg4 16. O-O Bxf3 17. gxf3 Nd5 18. Ba5 Rd7 19. Kh1 c6 20. Rg1 g6 21. f4 f5 22. Rad1 Kf7 23. Bxd5 cxd5 24. Bc3 Rb8 25. Be5 Rb6 26. h4 Rdb7 27. h5 Rxb2 28. Bxb2 Rxb2 29. hxg6+ hxg6 30. a4 Rxf2 31. Rb1 Ra2 32. Rb7+ Kf6 33. Rxa7 Ra3 34. Rb1 Rxe3 35. a5 Rf3 36. Rab7 Rxf4 37. a6 d4 38. a7 d3 39. a8=Q d2 40. Qf8+ Kg5 41. Qb8 e5 42. Rg7 e4 43. Qxf4+ Kxf4,43,d4,d5,c4,Nc6,cxd5,Qxd5,Nc3,Qxd4,Qb3,Be6,Qxb7,Rd8,Qxc6+,Bd7,Qe4,Qxe4,Nxe4,Bf5,Nc3,e6,Kxf4,TRUE,8,2,4,1,7,9,7,5,3,1,3,14,15,7,7,2,10,23,Time forfeit,White,0,0,TRUE,Loss,69,1796
Bullet,Chess.com,2020-10-31,-,JoseMiguel645,therealslim_kt,0-1,1799,1806,B40,NA,60,15:58:49,16:00:08,therealslim_kt won by resignation,https://www.chess.com/live/game/5664534203,1. e4 e6 2. Nf3 c5 3. d3 Nc6 4. Be3 Nf6 5. Nc3 d5 6. Be2 d4 7. Bxd4 cxd4 8. Nb5 e5 9. a4 a6 10. Na3 Qa5+ 11. c3 dxc3 12. O-O cxb2 13. Rb1 Bxa3 14. Qb3 Qc5 15. Nd2 Be6 16. Qc2 Qxc2 17. Nc4 Nd4 18. Bf3 Nxf3+ 19. gxf3 Bxc4 20. dxc4 Qxc4 21. Kg2 Rc8 22. f4 Qxf1+ 23. Kxf1 Rc1+ 24. Kg2 Rxb1,24,e4,e6,Nf3,c5,d3,Nc6,Be3,Nf6,Nc3,d5,Be2,d4,Bxd4,cxd4,Nb5,e5,a4,a6,Na3,Qa5+,Rxb1,TRUE,4,4,6,1,2,2,3,0,4,0,5,3,7,4,10,1,7,5,Normal,Black,1,0,FALSE,Win,7,1806
Bullet,Chess.com,2020-10-31,-,croman,therealslim_kt,1-0,1798,1798,B20,NA,60,15:57:05,15:58:41,croman won by checkmate,https://www.chess.com/live/game/5664526351,1. e4 c5 2. Qf3 e5 3. c3 Nf6 4. h3 d6 5. d3 Be7 6. Ne2 O-O 7. Ng3 b5 8. Be2 b4 9. O-O a5 10. a3 b3 11. Nd2 a4 12. Nc4 Ba6 13. Ne3 Nc6 14. Nef5 Rb8 15. Nxe7+ Qxe7 16. Rb1 Na5 17. Bg5 h6 18. Bc1 Nd7 19. Nf5 Qe8 20. Qg4 Nf6 21. Qf3 c4 22. dxc4 Bxc4 23. Bxc4 Nxc4 24. Bxh6 gxh6 25. Nxh6+ Kh7 26. Nf5 Rg8 27. Kh1 Nd2 28. Qe3 Nxb1 29. Qh6#,29,e4,c5,Qf3,e5,c3,Nf6,h3,d6,d3,Be7,Ne2,O-O,Ng3,b5,Be2,b4,O-O,a5,a3,b3,Qh6#,TRUE,5,2,10,1,5,2,3,2,8,1,2,3,8,4,18,2,7,5,Normal,Black,0,0,TRUE,Loss,-0,1798
Bullet,Chess.com,2020-10-31,-,therealslim_kt,fiveringking,1-0,1806,1743,A40,NA,60,15:55:00,15:56:58,therealslim_kt won on time,https://www.chess.com/live/game/5664516669,1. c4 e6 2. d4 d5 3. Nc3 dxc4 4. e4 c5 5. d5 exd5 6. exd5 Bd6 7. Bxc4 Nf6 8. Nf3 O-O 9. O-O Bg4 10. Qd3 Nbd7 11. Ng5 Bh5 12. f4 Bg6 13. f5 Ne5 14. Qe2 Bh5 15. Nf3 Bxf3 16. gxf3 Nxc4 17. Qxc4 Qc7 18. f4 a6 19. Kh1 b5 20. Qe2 Rfe8 21. Qg2 b4 22. Rg1 g6 23. fxg6 fxg6 24. Ne2,24,c4,e6,d4,d5,Nc3,dxc4,e4,c5,d5,exd5,exd5,Bd6,Bxc4,Nf6,Nf3,O-O,O-O,Bg4,Qd3,Nbd7,Ne2,TRUE,1,2,5,1,5,2,6,1,4,1,1,2,7,3,9,2,6,4,Time forfeit,White,1,0,FALSE,Win,63,1806
Bullet,Chess.com,2020-10-31,-,therealslim_kt,x_EdUaRd_x,0-1,1799,1776,A40,NA,60,15:52:39,15:54:55,x_EdUaRd_x won on time,https://www.chess.com/live/game/5664505725,1. c4 g6 2. d4 Bg7 3. Nc3 Nh6 4. e4 O-O 5. Be3 c6 6. Qd2 Ng4 7. h3 Nxe3 8. Qxe3 e6 9. Bd3 d5 10. cxd5 exd5 11. e5 b6 12. f4 Bf5 13. O-O-O Be6 14. g4 c5 15. f5 cxd4 16. Qxd4 Nc6 17. Qf2 Nxe5 18. fxe6 fxe6 19. Qc2 Rc8 20. Kb1 Rc7 21. Nge2 Qe7 22. Nd4 Rfc8 23. Rde1 Nc4 24. Bxc4 Rxc4 25. Rxe6 Qb4 26. Nf3 Rxc3 27. Qe2 Rxf3 28. Re8+ Rxe8 29. Qxe8+ Rf8 30. Qe6+ Kh8 31. Qe2 a5 32. Rc1 Qe4+ 33. Ka1 Qxe2 34. Rc7 Rf2 35. Rc8+ Bf8 36. Rxf8+ Rxf8 37. a3 Kg7 38. Ka2 b5 39. Kb3 b4,39,c4,g6,d4,Bg7,Nc3,Nh6,e4,O-O,Be3,c6,Qd2,Ng4,h3,Nxe3,Qxe3,e6,Bd3,d5,cxd5,exd5,b4,TRUE,3,5,4,1,9,8,4,3,6,1,4,11,7,8,10,2,13,19,Time forfeit,White,0,0,TRUE,Loss,23,1799
